@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
1.72,1.27,1.28,1.32,0.33,1.33,1.08,1.25,1.04,1.08,1,0.67,1.08,1.17,1.2,1.08,2,0.67,1.31,1.33,A
1.72,0.77,1.58,0.5,1.33,1,1.17,0.17,1.17,1.08,0.67,1.67,1,1,1,2.17,0.67,2.33,1.17,3,A
1.72,5.97,1.63,1.05,1.67,1.67,1.4,0.67,1.21,1.21,0.67,1.67,1.2,0.89,0.84,1.53,0.33,1,0.9,1.67,A
1.72,2.39,1.53,1.4,1.33,0.33,1.25,1.43,1.33,1.4,2,0.67,1.38,1.14,1,1.2,1,1.67,1.12,1,H
1.72,4.57,1.18,1.52,0.33,2.33,1,1.5,1.11,1.52,1.67,3.67,1.07,1.57,1.32,1.33,2.33,0.67,1.36,1.36,A
1.72,1.4,1.46,0.77,1.33,1.33,1,0.67,1.08,1,0.67,0.33,0.86,0.33,1,1.92,0.67,1,1.14,2.17,H
1.72,1.47,1.67,1,2.33,1.33,1.44,0.62,1.28,0.89,1,0.67,1.33,0.88,0.89,1.33,0.33,0.67,1,1.5,D
0.72,1.22,0.5,1.19,0,1,0.62,1.19,0.69,1.19,0,1,0.69,1.12,1.94,1.69,2.33,3,1.81,1.69,A
0.72,2.37,0.41,1.47,0.67,1,0.25,1.67,0.82,1.47,0.67,0,0.62,1.44,1.82,1.24,1.33,0,1.5,1.11,D
0.72,0.61,0.54,0.96,0.67,0,0.64,0.67,0.75,1.17,0.33,1.33,0.73,1,1.67,1.92,1,3.67,1.27,2.33,H
0.72,2.11,0.52,2.05,1,1.67,0.6,2.18,0.81,1.81,0.67,0.33,0.7,2,1.76,1.19,1.67,0,1.3,1.09,D
0.72,1.72,0.4,1.55,0.33,0.67,0.33,1.89,0.8,1.15,0.67,0,0.67,1.22,1.85,0.95,2,1,1.44,0.78,H
0.72,4.63,0.55,1.90,0,1.33,0.71,1.86,0.76,1.76,0.67,1.33,0.79,1.71,1.9,0.83,3,1.33,1.64,0.86,A
0.72,2.95,0.59,1.35,1,2,0.77,1.58,0.78,1.77,1,2,0.77,1.58,1.78,1.35,2.67,0.33,1.54,1,A
0.72,6.4,0.36,2.27,0,2.33,0.2,2,0.91,2.36,0.67,2.33,0.6,1.4,1.82,0.82,2.33,0.67,1.4,0.8,D
0.72,1.27,0.38,1.23,0.33,1,0.33,1.33,0.77,0.92,0.33,1.33,0.5,1.33,1.85,1.08,2.33,1.33,1.17,1.33,A
0.72,5.74,0.4,2,0.33,1.33,0.29,2,0.87,1.8,1,1.67,0.71,2,1.87,0.87,2.67,1.33,1.43,1,A
0.72,5.97,0.52,1.37,0,1.67,0.67,1.36,0.71,1.5,0,1.67,0.73,1.14,1.87,1.37,2.33,1.33,1.67,1.21,A
0.72,1.52,0.57,0.86,0,1.33,0.33,0.67,1.14,1,1.33,1.33,0.67,1,1.71,1.43,2.33,1.67,1.33,1.67,A
0.72,4.57,0.64,1.4,1.33,1.33,0.83,1.38,0.8,1.28,0.67,2.33,0.83,1.23,1.6,1.44,0.67,2.67,1.17,1.46,A
0.72,1.47,0.44,1.11,0,0.33,0.25,0.5,0.89,1.11,0.67,1,0.5,1,1.67,1.22,2,2,1.25,1.75,A
