HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,Winner,Over2.5
0.0333,0.0435,0.1,0.09,0.17,0.03,0.1,0.05,0.13,0.08,0.1,0.1,0.15,0.05,0.13,0.08,0.16,0.2,0.07,0.23,0.15,0.2,0.12,0.21,0.17,0.1,0.11,0.09,0.04,0.03,0.13,0.14,0.04,0.05,0.13,0.11,0.04,0.04,0.48,0.46,0.27,0.37,0.01,-0.01,0.0105,0.0224,0.042,0.048,0.028,0.029,0.03,0.042,0.082,0.071,0.09,H,FALSE
0.0061,0.0266,0.12,0.13,0.13,0.13,0.18,0.13,0.1,0.09,0.13,0.13,0.12,0.07,0.12,0.1,0.11,0.1,0.1,0.13,0.1,0.07,0.1,0.1,0.11,0.1,0.1,0.12,0.03,0.04,0.14,0.13,0.05,0.05,0.11,0.13,0.04,0.04,0.44,0.52,0.38,0.35,0.01,0.01,0.0256,0.0244,0.044,0.044,0.032,0.031,0.031,0.043,0.128,0.13,0.09,D,FALSE
0.0164,0.0874,0.08,0.18,0.13,0.1,0.1,0.22,0.07,0.19,0.07,0.17,0.08,0.22,0.07,0.19,0.14,0.11,0.07,0.17,0.12,0.1,0.11,0.13,0.1,0.15,0.12,0.16,0.04,0.06,0.14,0.1,0.05,0.03,0.11,0.15,0.04,0.05,0.48,0.56,0.38,0.37,0.01,0.01,0.0108,0.0702,0.039,0.035,0.029,0.028,0.062,0.031,0.1,0.089,0.09,A,FALSE
0.0105,0.1006,0.11,0.28,0.07,0.3,0.15,0.3,0.08,0.36,0.1,0.37,0.1,0.28,0.09,0.33,0.11,0.04,0.13,0.07,0.08,0.02,0.11,0.05,0.07,0.22,0.1,0.17,0.03,0.07,0.14,0.06,0.04,0.02,0.08,0.15,0.03,0.06,0.4,0.72,0.44,0.49,-0.01,0.07,0.0186,0.0919,0.041,0.042,0.033,0.025,0.038,0.019,0.122,0.139,0.09,A,TRUE
0.0165,0.0152,0.17,0.09,0.13,0.1,0.12,0.02,0.17,0.11,0.2,0.17,0.12,0.1,0.16,0.13,0.19,0.22,0.23,0.33,0.25,0.28,0.22,0.28,0.22,0.18,0.12,0.1,0.04,0.03,0.11,0.15,0.04,0.06,0.13,0.1,0.05,0.04,0.5,0.41,0.27,0.36,-0.01,-0.02,0.0497,0.0382,0.043,0.041,0.032,0.029,0.021,0.031,0.058,0.069,0.09,A,FALSE
0.0899,0.0051,0.14,0.13,0.07,0.1,0.2,0.1,0.16,0.08,0.07,0.07,0.15,0.08,0.12,0.07,0.18,0.11,0.17,0.23,0.02,0.1,0.12,0.15,0.14,0.1,0.17,0.1,0.06,0.03,0.07,0.12,0.03,0.04,0.14,0.08,0.05,0.03,0.61,0.46,0.36,0.4,-0.01,0.01,0.0511,0.0491,0.036,0.048,0.027,0.033,0.039,0.037,0.042,0.104,0.09,H,TRUE
0.0215,0.0286,0.03,0.09,0.1,0.13,0.08,0.04,0.02,0.09,0.07,0.07,0.05,0.06,0.05,0.07,0.21,0.19,0.2,0.13,0.18,0.22,0.2,0.18,0.11,0.13,0.12,0.1,0.04,0.04,0.12,0.15,0.05,0.05,0.14,0.11,0.04,0.04,0.45,0.45,0.54,0.45,-0.01,-0.01,0.0291,0.0087,0.036,0.046,0.032,0.028,0.175,0.039,0.059,0.078,0.09,D,TRUE
0.0559,0.0147,0.18,0.09,0.2,0.1,0.3,0.12,0.19,0.07,0.27,0.1,0.28,0.05,0.24,0.07,0.13,0.11,0.13,0.1,0.08,0.02,0.11,0.08,0.16,0.09,0.16,0.09,0.06,0.03,0.11,0.14,0.04,0.05,0.15,0.1,0.06,0.03,0.62,0.45,0.37,0.26,0.01,-0.01,0.0463,0.0211,0.04,0.051,0.025,0.031,0.033,0.043,0.084,0.128,0.09,H,TRUE
0.0855,0.0834,0.22,0.22,0.13,0.3,0.3,0.3,0.24,0.21,0.17,0.3,0.35,0.3,0.25,0.27,0.04,0.07,0.07,0.03,0,0.05,0.04,0.05,0.15,0.15,0.13,0.16,0.05,0.06,0.11,0.09,0.04,0.03,0.11,0.14,0.04,0.05,0.55,0.62,0.37,0.38,-0.01,0.04,0.0677,0.0696,0.041,0.038,0.029,0.029,0.019,0.027,0.261,0.14,0.09,H,FALSE
0.0435,0.0165,0.08,0.15,0.03,0.1,0.12,0.2,0.07,0.15,0.1,0.13,0.1,0.2,0.09,0.16,0.2,0.18,0.27,0.2,0.2,0.14,0.22,0.17,0.13,0.19,0.09,0.12,0.03,0.04,0.14,0.11,0.05,0.04,0.1,0.13,0.04,0.04,0.46,0.5,0.37,0.27,-0.02,-0.02,0.0202,0.0447,0.048,0.043,0.029,0.032,0.047,0.024,0.071,0.06,0.1,H,TRUE
