HomeValue,HomeNormValue,AwayValue,AwayNormValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,isHomeFavorite,isAwayFavorite,HomeWon,AwayWon,Favorite,Winner,FavoriteWins,Over2.5
0.0082,0.82,0.1006,10.06,0.08,0.21,0.03,0.2,0.1,0.2,0.09,0.21,0.03,0.27,0.09,0.22,0.07,0.23,0.17,0.1,0.13,0.07,0.14,0.11,0.15,0.09,0.08,0.19,0.12,0.18,0.03,0.06,0.16,0.1,0.05,0.03,0.11,0.17,0.03,0.05,0.43,0.6,0.45,0.54,-0.02,0.01,0.0197,0.0665,0.037,0.034,0.035,0.03,0.037,0.028,0.094,0.104,0.28,7.34,4.84,1.42,0,1,1,0,A,H,0,0
0.0072,0.72,0.1006,10.06,0.17,0.18,0.1,0.17,0.13,0.23,0.07,0.2,0.03,0.23,0.07,0.27,0.06,0.23,0.12,0.12,0.2,0.17,0.13,0.13,0.15,0.14,0.1,0.19,0.11,0.18,0.03,0.06,0.13,0.1,0.05,0.03,0.1,0.15,0.03,0.05,0.49,0.6,0.38,0.54,-0.02,0.01,0.059,0.0811,0.045,0.034,0.033,0.03,0.049,0.03,0.11,0.085,0.06,7.97,4.72,1.42,0,1,0,1,A,A,1,0
0.0164,1.64,0.0834,8.34,0.11,0.2,0.07,0.3,0.14,0.17,0.12,0.19,0.13,0.13,0.14,0.17,0.13,0.16,0.15,0.08,0.23,0,0.15,0.11,0.18,0.06,0.1,0.17,0.12,0.16,0.04,0.06,0.14,0.09,0.05,0.03,0.11,0.15,0.04,0.05,0.48,0.62,0.38,0.38,0,0.03,0.0327,0.059,0.039,0.038,0.029,0.029,0.036,0.03,0.095,0.113,0.29,7.15,4.88,1.43,0,1,0,1,A,A,1,1
0.0072,0.72,0.0874,8.74,0.1,0.23,0,0.23,0.1,0.18,0.05,0.23,0,0.27,0.06,0.22,0.04,0.24,0.13,0.09,0.27,0.03,0.12,0.13,0.17,0.08,0.06,0.21,0.11,0.15,0.03,0.06,0.13,0.11,0.05,0.03,0.11,0.14,0.03,0.05,0.49,0.55,0.38,0.36,-0.03,0,0.0303,0.0735,0.045,0.037,0.033,0.026,0.069,0.025,0.099,0.125,0.23,8.1,4.55,1.43,0,1,0,1,A,A,1,1
0.0051,0.51,0.0874,8.74,0.11,0.2,0.1,0.2,0.18,0.2,0.07,0.18,0.07,0.13,0.1,0.19,0.08,0.17,0.16,0.08,0.23,0.07,0.1,0.08,0.16,0.07,0.08,0.17,0.1,0.16,0.03,0.06,0.12,0.1,0.04,0.03,0.1,0.14,0.03,0.05,0.46,0.56,0.4,0.37,0.01,-0.01,0.0307,0.0722,0.048,0.035,0.033,0.028,0.042,0.033,0.071,0.122,0.16,8.58,4.42,1.43,0,1,0,1,A,A,1,1
0.0164,1.64,0.0899,8.99,0.09,0.18,0.07,0.17,0.1,0.18,0.09,0.2,0.1,0.2,0.11,0.25,0.1,0.22,0.12,0.12,0.13,0.07,0.11,0.21,0.12,0.13,0.12,0.17,0.12,0.17,0.04,0.06,0.14,0.07,0.05,0.03,0.1,0.16,0.04,0.05,0.48,0.61,0.38,0.36,-0.01,0,0.0134,0.0498,0.039,0.036,0.029,0.027,0.047,0.031,0.122,0.063,0.17,6.89,4.93,1.44,0,1,0,1,A,A,1,1
0.0147,1.47,0.0899,8.99,0.07,0.22,0.03,0.3,0.03,0.18,0.08,0.27,0.1,0.37,0.1,0.18,0.09,0.27,0.17,0.15,0.2,0.1,0.23,0.18,0.2,0.14,0.12,0.23,0.11,0.17,0.04,0.06,0.14,0.08,0.05,0.03,0.09,0.15,0.03,0.06,0.48,0.62,0.54,0.49,-0.02,0.03,0.0187,0.1057,0.045,0.037,0.027,0.027,0.046,0.023,0.082,0.054,0.06,7.22,4.94,1.44,0,1,0,1,A,A,1,1
0.0147,1.47,0.0874,8.74,0.1,0.18,0.07,0.23,0.13,0.18,0.08,0.17,0.07,0.2,0.1,0.18,0.08,0.19,0.15,0.1,0.23,0.13,0.12,0.11,0.17,0.12,0.1,0.18,0.09,0.16,0.03,0.06,0.14,0.1,0.05,0.03,0.09,0.15,0.03,0.05,0.45,0.56,0.26,0.37,-0.01,0.02,0.0284,0.0498,0.051,0.035,0.031,0.028,0.036,0.033,0.095,0.099,0.34,7.42,4.64,1.44,0,1,0,1,A,A,1,0
0.0077,0.77,0.0559,5.59,0.02,0.22,0.03,0.23,0.02,0.25,0.07,0.21,0.03,0.13,0.1,0.2,0.07,0.18,0.18,0.1,0.13,0.07,0.22,0.05,0.18,0.07,0.07,0.18,0.1,0.15,0.03,0.05,0.18,0.11,0.07,0.04,0.11,0.16,0.04,0.06,0.4,0.59,0.26,0.54,-0.02,0,0.0041,0.0582,0.039,0.04,0.032,0.028,0.047,0.025,0.1,0.114,0.09,7.83,4.73,1.44,0,1,0,1,A,A,1,1
0.0215,2.15,0.0874,8.74,0.11,0.27,0.2,0.23,0.13,0.23,0.14,0.3,0.17,0.2,0.1,0.33,0.14,0.28,0.17,0.1,0.13,0.03,0.1,0.17,0.13,0.1,0.12,0.21,0.12,0.15,0.04,0.06,0.14,0.11,0.04,0.03,0.11,0.14,0.03,0.05,0.4,0.55,0.38,0.36,-0.01,0.02,0.0366,0.0841,0.034,0.037,0.033,0.026,0.025,0.019,0.082,0.109,0.07,7.47,4.43,1.45,0,1,0,1,A,A,1,1
