,0,1,2
1111,sell,advcl,5
1112,sell,dobj,9
1113,sell,dative,1
1114,sell,npadvmod,2
1115,sell,mark,3
1116,sell,advmod,8
1117,repel,COUNT,1
1118,repel,advcl,1
1119,repel,advmod,2
1120,repel,nsubjpass,1
1121,repel,auxpass,1
1122,precede,COUNT,56
1123,precede,dobj,56
1124,demonstrate,COUNT,1
1125,demonstrate,nsubj,1
1126,demonstrate,aux,1
1127,demonstrate,dobj,1
1128,demonstrate,prep,1
1129,kill,COUNT,52
1130,kill,nsubjpass,44
1131,kill,auxpass,43
1132,kill,prep,31
1133,kill,agent,4
1134,kill,cc,24
1135,kill,conj,26
1136,kill,advcl,3
1137,kill,dobj,6
1138,kill,meta,1
1139,kill,nsubj,3
1140,kill,dep,1
1141,kill,advmod,4
1142,kill,aux,1
1143,kill,npadvmod,2
1144,own,COUNT,32
1145,own,agent,21
1146,own,advmod,4
1147,own,nsubjpass,10
1148,own,auxpass,11
1149,own,dep,1
1150,own,meta,1
1151,own,nsubj,4
1152,own,cc,5
1153,own,conj,5
1154,own,prep,6
1155,own,dobj,3
1156,own,npadvmod,1
1157,own,compound,1
1158,donate,COUNT,4
1159,donate,nsubjpass,3
1160,donate,auxpass,4
1161,donate,xcomp,2
1162,donate,advmod,1
1163,donate,prep,1
1164,set,COUNT,29
1165,set,prep,18
1166,set,dobj,10
1167,set,aux,3
1168,set,prt,10
1169,set,nsubj,3
1170,set,auxpass,3
1171,set,advmod,3
1172,set,cc,2
1173,set,conj,2
1174,set,nsubjpass,2
1175,set,agent,3
1176,set,advcl,1
1177,set,ccomp,1
1178,debut,COUNT,9
1179,debut,nsubj,5
1180,debut,prep,10
1181,debut,dobj,1
1182,debut,agent,1
1183,debut,cc,1
1184,debut,conj,1
1185,debut,advcl,1
1186,debut,advmod,1
1187,debut,nsubjpass,1
1188,debut,auxpass,1
1189,print,COUNT,8
1190,print,prep,5
1191,print,nsubjpass,5
1192,print,auxpass,5
1193,print,advcl,1
1194,print,mark,1
1195,print,nsubj,1
1196,print,dobj,1
1197,spawn,COUNT,2
1198,spawn,nsubj,1
1199,spawn,dobj,2
1200,spawn,prep,1
1201,single,COUNT,3
1202,single,nummod,1
1203,single,amod,1
1204,single,compound,1
1205,single,appos,1
1206,single,nsubjpass,1
1207,single,auxpass,1
1208,single,prt,1
1209,single,agent,1
1210,single,prep,1
1211,single,dobj,1
1212,recognize,COUNT,27
1213,recognize,nsubjpass,15
1214,recognize,auxpass,15
1215,recognize,agent,11
1216,recognize,prep,10
1217,recognize,cc,2
1218,recognize,conj,2
1219,recognize,advmod,4
1220,recognize,aux,14
1221,recognize,dobj,3
1222,recognize,nsubj,4
1223,recognize,ccomp,4
1224,recognize,npadvmod,1
1225,recognize,advcl,1
1226,include,COUNT,151
1227,include,pobj,105
1228,include,nsubj,28
1229,include,dobj,27
1230,include,nsubjpass,8
1231,include,auxpass,11
1232,include,advmod,8
1233,include,prep,15
1234,include,aux,6
1235,include,xcomp,4
1236,include,advcl,1
1237,include,mark,2
1238,include,dep,1
1239,include,ccomp,2
1240,include,meta,2
1241,include,neg,2
1242,include,npadvmod,1
1243,award,COUNT,25
1244,award,nsubjpass,18
1245,award,auxpass,20
1246,award,prep,16
1247,award,dative,5
1248,award,dobj,10
1249,award,advmod,3
1250,award,cc,2
1251,award,conj,2
1252,award,mark,4
1253,award,nsubj,2
1254,award,aux,2
1255,award,meta,1
1256,award,npadvmod,1
1257,name,COUNT,37
1258,name,prep,17
1259,name,oprd,13
